id,name,type,usage_count
1,1girl,0,5201354
24,solo,0,4327390
124,long_hair,0,3712827
12054,mammal,5,3162719
7115,anthro,0,3053289
38,breasts,0,2940766
13731,hi_res,7,2790075
14,looking_at_viewer,0,2759646
5,blush,0,2540001
23,smile,0,2414221
26,female,0,2382853
126,open_mouth,0,1990680
22,short_hair,0,1938348
807,clothing,0,1907529
1375,hair,0,1639955
1989,fur,0,1575595
36,blue_eyes,0,1517445
168227,duo,0,1486488
50,simple_background,0,1458866
264,shirt,0,1422903
89,large_breasts,0,1356214
209,skirt,0,1351223
241891,bodily_fluids,0,1333340
191,blonde_hair,0,1332619
125,multiple_girls,0,1329125
39,brown_hair,0,1288773
219,black_hair,0,1252259
45,long_sleeves,0,1232106
660640,canid,5,1214647
197,hair_ornament,0,1197374
78,white_background,0,1193915
163,tail,0,1191278
2465,nipples,0,1190488
1068,canine,5,1176289
290761,digital_media_(artwork),7,1164262
81,1boy,0,1153995
149,gloves,0,1136620
132,red_eyes,0,1100002
70,dress,0,1070675
1337,clothed,0,1055358
122,holding,0,1054109
121,hat,0,1048906
153,thighhighs,0,1047781
3155,text,0,1041103
113,bow,0,1003952
396,navel,0,990967
4,animal_ears,0,972743
20,ribbon,0,952028
634,hair_between_eyes,0,945505
454,butt,0,933789
14485,absurd_res,7,933005
65,closed_mouth,0,904981
107,2girls,0,875189
40,cleavage,0,863231
150,jewelry,0,849539
59,bare_shoulders,0,832444
139,very_long_hair,0,798310
326,sitting,0,797932
420,tongue,0,788833
102,twintails,0,784817
46,medium_breasts,0,781816
12,big_breasts,0,764406
239,brown_eyes,0,757171
20074,english_text,7,753234
133,standing,0,752853
12,green_eyes,0,723619
566,jacket,0,722734
112,blue_hair,0,719996
53,underwear,0,715654
48,school_uniform,0,698084
159,purple_eyes,0,682659
66,collarbone,0,668048
269,white_shirt,0,649729
4303,nintendo,3,643262
392,full_body,0,642945
47130,felid,5,640746
64553,canis,5,640492
9182,mythology,3,629407
118165,white_body,0,622977
18098,horn,0,620354
3107,teeth,0,619579
77,upper_body,0,614997
76689,mythological_creature,5,600024
127,panties,0,587418
117,closed_eyes,0,582387
452,feral,0,580405
774,scalie,5,579749
468,white_hair,0,579690
748,yellow_eyes,0,577168
25,swimsuit,0,571622
16,pink_hair,0,563998
90,monochrome,0,554688
165,grey_hair,0,544953
318131,feet,0,544777
2,ahoge,0,539562
6,braid,0,534636
225,purple_hair,0,534547
13,hair_ribbon,0,533231
1097,male_focus,0,531996
18305,tongue_out,0,524540
131,ponytail,0,522458
1413,flower,0,522113
111,ass,0,521521
707,multicolored_hair,0,519665
184,weapon,0,515637
373,short_sleeves,0,511266
265,sidelocks,0,497423
2496,claws,0,487701
393592,topwear,0,486780
338,comic,0,480647
121378,white_fur,0,479555
